layer,type,v_min,v_max,abs_max,int_bits,Q,scale,max_repr,overflow,format,num_bits
mobilevit.encoder.layer.4.layernorm,LayerNorm,-1.07596,1.62167,1.62167,2,14,6.103515625e-05,1.99994,False,Q1.14,16
mobilevit.encoder.layer.4.conv_projection.convolution,Conv2d,-2.62827,2.30347,2.62827,3,13,0.0001220703125,3.99988,False,Q2.13,16
mobilevit.encoder.layer.4.conv_projection.normalization,BatchNorm2d,-2.47216,2.61236,2.61236,3,13,0.0001220703125,3.99988,False,Q2.13,16
mobilevit.encoder.layer.4.conv_projection.activation,SiLUActivation,-0.27846,2.43382,2.43382,3,13,0.0001220703125,3.99988,False,Q2.13,16
mobilevit.encoder.layer.4.conv_projection,MobileViTConvLayer,-0.27846,2.43382,2.43382,3,13,0.0001220703125,3.99988,False,Q2.13,16
mobilevit.encoder.layer.4.fusion.convolution,Conv2d,-16.49166,20.93599,20.93599,6,10,0.0009765625,31.99902,False,Q5.10,16
mobilevit.encoder.layer.4.fusion.normalization,BatchNorm2d,-3.30861,4.06048,4.06048,4,12,0.000244140625,7.99976,False,Q3.12,16
mobilevit.encoder.layer.4.fusion.activation,SiLUActivation,-0.27846,3.99166,3.99166,3,13,0.0001220703125,3.99988,False,Q2.13,16
mobilevit.encoder.layer.4.fusion,MobileViTConvLayer,-0.27846,3.99166,3.99166,3,13,0.0001220703125,3.99988,False,Q2.13,16
mobilevit.encoder.layer.4,MobileViTLayer,-0.27846,3.99166,3.99166,3,13,0.0001220703125,3.99988,False,Q2.13,16
mobilevit.conv_1x1_exp.convolution,Conv2d,-3.76601,3.27533,3.76601,3,13,0.0001220703125,3.99988,False,Q2.13,16
mobilevit.conv_1x1_exp.normalization,BatchNorm2d,-29.16875,21.29927,29.16875,6,10,0.0009765625,31.99902,False,Q5.10,16
mobilevit.conv_1x1_exp.activation,SiLUActivation,-0.27846,21.29927,21.29927,6,10,0.0009765625,31.99902,False,Q5.10,16
mobilevit.conv_1x1_exp,MobileViTConvLayer,-0.27846,21.29927,21.29927,6,10,0.0009765625,31.99902,False,Q5.10,16
dropout,Dropout,-0.26613,3.27347,3.27347,3,13,0.0001220703125,3.99988,False,Q2.13,16
classifier,Linear,-8.39034,14.12919,14.12919,5,11,0.00048828125,15.99951,False,Q4.11,16
